date,RZ_ID,Year,Month,LoS,buffer,ep_total,ep_mean,q50_anomaly_total,q75_anomaly_total,q90_anomaly_total,q50_deficit_total,Day
2031-04-01,36,2031,4,0,25.0,0.8716877176,0.29056257253333334,0.6022483407999997,-1.6871567306,-4.370662997984002,0.0,1
2031-05-01,36,2031,5,0,25.0,1.973122889599999,0.6577076298666663,-0.8188909252000003,-4.029048536800001,-6.5284895890720005,0.8188909252000003,1
2031-06-01,36,2031,6,0,25.0,4.0884052208,1.3628017402666668,0.20964096920000008,-4.2406864912,-7.758859618000001,0.0,1
2031-07-01,36,2031,7,0,25.0,-1.8695411615999995,-0.6231803871999998,-8.9828270832,-13.439545335,-15.938952398063998,8.9828270832,1
2031-08-01,36,2031,8,0,25.0,-0.47385136240000003,-0.15795045413333333,-4.6485598264,-8.064241108,-10.289836944400001,4.6485598264,1
2031-09-01,36,2031,9,0,25.0,-1.0447110183999997,-0.34823700613333325,0.42825347,-2.4347892807999996,-4.332522623680001,0.0,1
2031-10-01,36,2031,10,0,25.0,0.2880831790399999,0.09602772634666663,5.47226079224,2.05985794844,-0.2713995361360021,0.0,1
2031-11-01,36,2031,11,0,25.0,-2.9573883303999997,-0.9857961101333332,5.887348436600001,2.3686033820000008,0.4592926948399998,0.0,1
2031-12-01,36,2031,12,0,25.0,-7.8032291112,-2.6010763704,1.9222689041999992,-1.2885025394999996,-3.705235269480001,0.0,1
2032-01-01,36,2032,1,0,25.0,-13.441385918799998,-4.480461972933333,-4.454755769799998,-7.872708709299998,-10.234064651559999,4.454755769799998,1
2032-02-01,36,2032,2,0,25.0,-5.9045421088,-1.9681807029333334,0.6529850167999998,-2.0976536656,-3.6256097194000017,0.0,1
2032-03-01,36,2032,3,0,25.0,-3.9688906912000004,-1.3229635637333335,0.022610759599999142,-2.5122324220000003,-4.6583551012000015,0.0,1
2032-04-01,36,2032,4,0,25.0,-9.368227948800001,-3.1227426496000006,-9.637667325600002,-11.927072397000002,-14.610578664384004,9.637667325600002,1
2032-05-01,36,2032,5,0,25.0,8.05134310256,2.683781034186667,5.259329287760002,2.0491716761600003,-0.4502693761119989,0.0,1
2032-06-01,36,2032,6,0,25.0,14.11525648736,4.705085495786666,10.23649223576,5.78616477536,2.267991648559999,0.0,1
2032-07-01,36,2032,7,0,25.0,-0.6481734368000005,-0.21605781226666684,-7.761459358400001,-12.218177610200001,-14.717584673264,7.761459358400001,1
2032-08-01,36,2032,8,0,25.0,-11.480928495999999,-3.826976165333333,-15.655636959999999,-19.071318241599997,-21.296914078,15.655636959999999,1
2032-09-01,36,2032,9,0,25.0,-14.003964356000001,-4.667988118666667,-12.530999867600002,-15.3940426184,-17.291775961280003,12.530999867600002,1
2032-10-01,36,2032,10,0,25.0,-13.135724459999999,-4.37857482,-7.951546846799999,-11.363949690599998,-13.695207175176002,7.951546846799999,1
2032-11-01,36,2032,11,0,25.0,-13.587787136000003,-4.529262378666668,-4.743050369000002,-8.261795423600002,-10.171106110760004,4.743050369000002,1
